GeneName	3 Cell-line mixture-Bulk	3 Cell-line mixture-Bulk 2
DDX11L1	4.04108	4.04108
WASH7P	3907.532	3907.532
MIR6859-3	0.0	0.0
RP11-34P13.3	0.0	0.0
MIR1302-9	0.0	0.0
FAM138A	0.0	0.0
OR4G4P	0.0	0.0
OR4G11P	0.0	0.0
OR4F5	0.0	0.0
RP11-34P13.7	136.738	136.738
RP11-34P13.8	86.422	86.422
CICP27	79.6465	79.6465
RP11-34P13.15	824.968	824.968
RP11-34P13.16	85.7469	85.7469
RP11-34P13.14	25.8565	25.8565
RP11-34P13.13	488.2341	488.2341
RNU6-1100P	0.0	0.0
RP11-34P13.9	3.0	3.0
FO538757.3	4.72031	4.72031
FO538757.2	1758.59389999999	1758.59389999999
MIR6859-2	0.0	0.0
FO538757.1	0.0	0.0
AP006222.2	655.90365	655.90365
AP006222.1	44.2732	44.2732
RP4-669L17.1	0.0	0.0
RP5-857K21.15	11.3219	11.3219
RP4-669L17.2	25.986	25.986
RP4-669L17.10	334.65762	334.65762
WBP1LP7	0.0	0.0
OR4F29	0.0	0.0
RP4-669L17.4	13.1193	13.1193
CICP7	0.0	0.0
RP4-669L17.8	533.337	533.337
U6	0.0	0.0
RP5-857K21.1	57.0268	57.0268
RP5-857K21.2	9.96144	9.96144
RP5-857K21.3	3.56364	3.56364
RP5-857K21.4	17.2868	17.2868
RP5-857K21.5	0.0	0.0
MTND1P23	14.8345	14.8345
MTND2P28	4342.81	4342.81
AC114498.1	0.0	0.0
RP5-857K21.6	1034.5	1034.5
MIR6723	0.0	0.0
RP5-857K21.7	133.802	133.802
MTATP8P1	2.00057	2.00057
MTATP6P1	30857.6	30857.6
RP5-857K21.11	46.945	46.945
WBP1LP6	0.0	0.0
OR4F16	0.0	0.0
CICP3	11.6262	11.6262
RP11-206L10.1	784.611	784.611
RP11-206L10.3	129.605	129.605
RNU6-1199P	0.0	0.0
RP11-206L10.5	50.8494	50.8494
RP11-206L10.4	1.0	1.0
RP11-206L10.2	298.701	298.701
RP11-206L10.9	125.97599	125.97599
RP11-206L10.8	19.92676	19.92676
FAM87B	17.6904	17.6904
LINC01128	2508.38663	2508.38663
LINC00115	87.8397	87.8397
FAM41C	9.95522	9.95522
TUBB8P11	1.32729	1.32729
RP11-54O7.16	4.0	4.0
RP11-54O7.1	124.0	124.0
RP11-54O7.2	0.0	0.0
RP11-54O7.3	1006.00276	1006.00276
SAMD11	1330.2292	1330.2292
NOC2L	20198.582	20198.582
KLHL17	1647.0008	1647.0008
AL645608.1	0.0	0.0
PLEKHN1	839.30149	839.30149
PERM1	306.69811	306.69811
RP11-54O7.17	372.0	372.0
HES4	1902.9968	1902.9968
ISG15	1782.00009	1782.00009
RP11-54O7.10	0.0	0.0
RP11-54O7.11	6.0	6.0
AGRN	45085.8661299999	45085.8661299999
RP11-54O7.14	16.1219	16.1219
RP11-465B22.3	496.1658	496.1658
